Cooperator,Defector,TitForTat,Unforgiving,Pheromones,Learner,LearnerExt
65.96485000000001,90.18344166666667,105.66019999999999,95.51245833333333,108.5343,106.467425,100.16025
65.166125,88.96792500000001,104.88891666666666,91.09155000000001,122.728875,107.57923333333333,100.62859166666665
67.01145,89.32820833333334,105.62256666666666,92.93730833333333,120.46182499999999,105.90334166666668,100.38550833333333
67.223825,92.9494,105.94708333333334,92.85343333333334,104.570025,108.13847500000001,103.62638333333334
68.23935,90.54806666666666,105.22723333333332,92.754325,99.85375,109.53554999999999,104.78361666666666
67.161775,90.03598333333333,104.80369999999999,94.54388333333334,96.86782500000001,110.41555000000001,105.02594166666665
66.593975,91.87269166666665,106.76020833333334,94.36554166666667,104.630925,108.031825,102.56304166666666
67.50557500000001,89.88989166666666,104.776775,93.484775,121.81535000000001,108.041,102.32245833333333
66.54957499999999,89.35148333333333,105.384425,94.39375,112.010125,110.049325,101.34784166666667
67.29535,91.00130000000001,106.14546666666665,94.41333333333333,99.50025,108.54669166666667,103.72261666666665
